Year,State,Fishery,Assessment,Landings
1997,All,Trawl,2025,104.4250497
1998,All,Trawl,2025,106.7468529
1999,All,Trawl,2025,78.59212327
2000,All,Trawl,2025,83.12394019
2001,All,Trawl,2025,75.64146913
2002,All,Trawl,2025,30.91401039
2003,All,Trawl,2025,57.833779
2004,All,Trawl,2025,59.2323043
2005,All,Trawl,2025,45.64012743
2006,All,Trawl,2025,47.8564777
2007,All,Trawl,2025,62.26998301
2008,All,Trawl,2025,55.16172049
2009,All,Trawl,2025,68.48275661
2010,All,Trawl,2025,84.15414957
2011,All,Trawl,2025,57.12542185
2012,All,Trawl,2025,96.15064391
2013,All,Trawl,2025,66.46598602
2014,All,Trawl,2025,37.70530266
2015,All,Trawl,2025,49.93428178
2016,All,Trawl,2025,46.31446554
2017,All,Trawl,2025,24.41104642
2018,All,Trawl,2025,19.06186065
2019,All,Trawl,2025,31.30760184
2020,All,Trawl,2025,38.77825452
2021,All,Trawl,2025,31.72044773
2022,All,Trawl,2025,30.16644714
2023,All,Trawl,2025,39.5092441
2024,All,Trawl,2025,75.19067851
1916,CA,Non-trawl,2013,0
1917,CA,Non-trawl,2013,0
1918,CA,Non-trawl,2013,0
1919,CA,Non-trawl,2013,0
1920,CA,Non-trawl,2013,0
1921,CA,Non-trawl,2013,0
1922,CA,Non-trawl,2013,0
1923,CA,Non-trawl,2013,0
1924,CA,Non-trawl,2013,0
1925,CA,Non-trawl,2013,0
1926,CA,Non-trawl,2013,0
1927,CA,Non-trawl,2013,0
1928,CA,Non-trawl,2013,0
1929,CA,Non-trawl,2013,0
1930,CA,Non-trawl,2013,0
1931,CA,Non-trawl,2013,0
1932,CA,Non-trawl,2013,0
1933,CA,Non-trawl,2013,0
1934,CA,Non-trawl,2013,0
1935,CA,Non-trawl,2013,0
1936,CA,Non-trawl,2013,0
1937,CA,Non-trawl,2013,0
1938,CA,Non-trawl,2013,0
1939,CA,Non-trawl,2013,0
1940,CA,Non-trawl,2013,0
1941,CA,Non-trawl,2013,0
1942,CA,Non-trawl,2013,0
1943,CA,Non-trawl,2013,0
1944,CA,Non-trawl,2013,0
1945,CA,Non-trawl,2013,0
1946,CA,Non-trawl,2013,0
1947,CA,Non-trawl,2013,0
1948,CA,Non-trawl,2013,0
1949,CA,Non-trawl,2013,0
1950,CA,Non-trawl,2013,0
1951,CA,Non-trawl,2013,0
1952,CA,Non-trawl,2013,0
1953,CA,Non-trawl,2013,0
1954,CA,Non-trawl,2013,0
1955,CA,Non-trawl,2013,0
1956,CA,Non-trawl,2013,0
1957,CA,Non-trawl,2013,0
1958,CA,Non-trawl,2013,0
1959,CA,Non-trawl,2013,0
1960,CA,Non-trawl,2013,0
1961,CA,Non-trawl,2013,0
1962,CA,Non-trawl,2013,0
1963,CA,Non-trawl,2013,0
1964,CA,Non-trawl,2013,0
1965,CA,Non-trawl,2013,0
1966,CA,Non-trawl,2013,0
1967,CA,Non-trawl,2013,0
1968,CA,Non-trawl,2013,0
1969,CA,Non-trawl,2013,0
1970,CA,Non-trawl,2013,0
1971,CA,Non-trawl,2013,0
1972,CA,Non-trawl,2013,0
1973,CA,Non-trawl,2013,0
1974,CA,Non-trawl,2013,0
1975,CA,Non-trawl,2013,0
1976,CA,Non-trawl,2013,0
1977,CA,Non-trawl,2013,0
1978,CA,Non-trawl,2013,0
1979,CA,Non-trawl,2013,0
1980,CA,Non-trawl,2013,0
1981,CA,Non-trawl,2013,2.09
1982,CA,Non-trawl,2013,0
1983,CA,Non-trawl,2013,0
1984,CA,Non-trawl,2013,0
1985,CA,Non-trawl,2013,0
1986,CA,Non-trawl,2013,0.1
1987,CA,Non-trawl,2013,0
1988,CA,Non-trawl,2013,0
1989,CA,Non-trawl,2013,0.14
1990,CA,Non-trawl,2013,0.38
1991,CA,Non-trawl,2013,0
1992,CA,Non-trawl,2013,1.07
1993,CA,Non-trawl,2013,0
1994,CA,Non-trawl,2013,6.91
1995,CA,Non-trawl,2013,0.7
1996,CA,Non-trawl,2013,0.76
1997,CA,Non-trawl,2013,0.36
1998,CA,Non-trawl,2013,0.83
1999,CA,Non-trawl,2013,0
2000,CA,Non-trawl,2013,1
2001,CA,Non-trawl,2013,2.47
2002,CA,Non-trawl,2013,0.55
2003,CA,Non-trawl,2013,1.25
2004,CA,Non-trawl,2013,0
2005,CA,Non-trawl,2013,3.12
2006,CA,Non-trawl,2013,1.85
2007,CA,Non-trawl,2013,3.11
2008,CA,Non-trawl,2013,1.06
2009,CA,Non-trawl,2013,5.23
2010,CA,Non-trawl,2013,1.79
2011,CA,Non-trawl,2013,1.95
2012,CA,Non-trawl,2013,0
1916,CA,Non-trawl,2025,0.08845044
1917,CA,Non-trawl,2025,0.14288148
1918,CA,Non-trawl,2025,0.130634496
1919,CA,Non-trawl,2025,0.078017824
1920,CA,Non-trawl,2025,0.084821704
1921,CA,Non-trawl,2025,0.073935496
1922,CA,Non-trawl,2025,0.073028312
1923,CA,Non-trawl,2025,0.09752228
1924,CA,Non-trawl,2025,0.130634496
1925,CA,Non-trawl,2025,0.143335072
1926,CA,Non-trawl,2025,0.178261656
1927,CA,Non-trawl,2025,0.147870992
1928,CA,Non-trawl,2025,0.126098576
1929,CA,Non-trawl,2025,0.127459352
1930,CA,Non-trawl,2025,0.129727312
1931,CA,Non-trawl,2025,0.027669112
1932,CA,Non-trawl,2025,0.23586784
1933,CA,Non-trawl,2025,0.025854744
1934,CA,Non-trawl,2025,0.12246984
1935,CA,Non-trawl,2025,0.140159928
1936,CA,Non-trawl,2025,0.166921856
1937,CA,Non-trawl,2025,0.098429464
1938,CA,Non-trawl,2025,0.053977448
1939,CA,Non-trawl,2025,0.04989512
1940,CA,Non-trawl,2025,0.060781328
1941,CA,Non-trawl,2025,0.067131616
1942,CA,Non-trawl,2025,0.032658624
1943,CA,Non-trawl,2025,0.024493968
1944,CA,Non-trawl,2025,0.02041164
1945,CA,Non-trawl,2025,0.037648136
1946,CA,Non-trawl,2025,0.044452016
1947,CA,Non-trawl,2025,0.023586784
1948,CA,Non-trawl,2025,0.02721552
1949,CA,Non-trawl,2025,0.033565808
1950,CA,Non-trawl,2025,0.078017824
1951,CA,Non-trawl,2025,0.045812792
1952,CA,Non-trawl,2025,0.03855532
1953,CA,Non-trawl,2025,0.01587572
1954,CA,Non-trawl,2025,0.02721552
1955,CA,Non-trawl,2025,0.052616672
1956,CA,Non-trawl,2025,0.055338224
1957,CA,Non-trawl,2025,0.06350288
1958,CA,Non-trawl,2025,0.042637648
1959,CA,Non-trawl,2025,0.01587572
1960,CA,Non-trawl,2025,0.025401152
1961,CA,Non-trawl,2025,0.025854744
1962,CA,Non-trawl,2025,0.02494756
1963,CA,Non-trawl,2025,0.038101728
1964,CA,Non-trawl,2025,0.02494756
1965,CA,Non-trawl,2025,0.025854744
1966,CA,Non-trawl,2025,0.023586784
1967,CA,Non-trawl,2025,0.03175144
1968,CA,Non-trawl,2025,0.030844256
1969,CA,Non-trawl,2025,0
1970,CA,Non-trawl,2025,0
1971,CA,Non-trawl,2025,0
1972,CA,Non-trawl,2025,0
1973,CA,Non-trawl,2025,0
1974,CA,Non-trawl,2025,0
1975,CA,Non-trawl,2025,0
1976,CA,Non-trawl,2025,0
1977,CA,Non-trawl,2025,0
1978,CA,Non-trawl,2025,0
1979,CA,Non-trawl,2025,0
1980,CA,Non-trawl,2025,0
1981,CA,Non-trawl,2025,1.992898177
1982,CA,Non-trawl,2025,0
1983,CA,Non-trawl,2025,0
1984,CA,Non-trawl,2025,0
1985,CA,Non-trawl,2025,0.000791065
1986,CA,Non-trawl,2025,0.096839068
1987,CA,Non-trawl,2025,9.00596865
1988,CA,Non-trawl,2025,0
1989,CA,Non-trawl,2025,0.13578469
1990,CA,Non-trawl,2025,0.384437632
1991,CA,Non-trawl,2025,4.98952E-06
1992,CA,Non-trawl,2025,1.072316858
1993,CA,Non-trawl,2025,0
1994,CA,Non-trawl,2025,6.965413564
1995,CA,Non-trawl,2025,1.112490672
1996,CA,Non-trawl,2025,0.762376465
1997,CA,Non-trawl,2025,0.329027423
1998,CA,Non-trawl,2025,0.995407232
1999,CA,Non-trawl,2025,0
2000,CA,Non-trawl,2025,0.972345114
2001,CA,Non-trawl,2025,2.473827698
2002,CA,Non-trawl,2025,0.555038576
2003,CA,Non-trawl,2025,1.25289482
2004,CA,Non-trawl,2025,0
2005,CA,Non-trawl,2025,3.123498297
2006,CA,Non-trawl,2025,1.848584498
2007,CA,Non-trawl,2025,3.107658943
2008,CA,Non-trawl,2025,1.06303418
2009,CA,Non-trawl,2025,5.232810126
2010,CA,Non-trawl,2025,1.788818397
2011,CA,Non-trawl,2025,2.016745975
2012,CA,Non-trawl,2025,5.451372925
2013,CA,Non-trawl,2025,3.387491416
2014,CA,Non-trawl,2025,2.518380992
2015,CA,Non-trawl,2025,1.210115743
2016,CA,Non-trawl,2025,2.986657136
2017,CA,Non-trawl,2025,0.012246994
2018,CA,Non-trawl,2025,0.316076114
2019,CA,Non-trawl,2025,0.759585783
2020,CA,Non-trawl,2025,1.029198941
2021,CA,Non-trawl,2025,0.78652917
2022,CA,Non-trawl,2025,1.216081145
2023,CA,Non-trawl,2025,4.741793097
2024,CA,Non-trawl,2025,2.498895253
1916,WA,Non-trawl,2013,32.61
1917,WA,Non-trawl,2013,34.32
1918,WA,Non-trawl,2013,36.04
1919,WA,Non-trawl,2013,37.76
1920,WA,Non-trawl,2013,39.47
1921,WA,Non-trawl,2013,41.19
1922,WA,Non-trawl,2013,42.9
1923,WA,Non-trawl,2013,44.62
1924,WA,Non-trawl,2013,46.34
1925,WA,Non-trawl,2013,48.05
1926,WA,Non-trawl,2013,49.77
1927,WA,Non-trawl,2013,51.48
1928,WA,Non-trawl,2013,61.19
1929,WA,Non-trawl,2013,75.3
1930,WA,Non-trawl,2013,69.12
1931,WA,Non-trawl,2013,63.21
1932,WA,Non-trawl,2013,46.63
1933,WA,Non-trawl,2013,51.3
1934,WA,Non-trawl,2013,53.3
1935,WA,Non-trawl,2013,52.38
1936,WA,Non-trawl,2013,70.63
1937,WA,Non-trawl,2013,70.33
1938,WA,Non-trawl,2013,57.38
1939,WA,Non-trawl,2013,46.73
1940,WA,Non-trawl,2013,68.98
1941,WA,Non-trawl,2013,85.38
1942,WA,Non-trawl,2013,121.47
1943,WA,Non-trawl,2013,146.25
1944,WA,Non-trawl,2013,61.2
1945,WA,Non-trawl,2013,52.67
1946,WA,Non-trawl,2013,59.95
1947,WA,Non-trawl,2013,53.54
1948,WA,Non-trawl,2013,60.69
1949,WA,Non-trawl,2013,69.02
1950,WA,Non-trawl,2013,45.31
1951,WA,Non-trawl,2013,69.66
1952,WA,Non-trawl,2013,48.64
1953,WA,Non-trawl,2013,20.25
1954,WA,Non-trawl,2013,36.71
1955,WA,Non-trawl,2013,42.17
1956,WA,Non-trawl,2013,15.06
1957,WA,Non-trawl,2013,25.58
1958,WA,Non-trawl,2013,7.45
1959,WA,Non-trawl,2013,18.05
1960,WA,Non-trawl,2013,20.14
1961,WA,Non-trawl,2013,11.05
1962,WA,Non-trawl,2013,12.71
1963,WA,Non-trawl,2013,8.23
1964,WA,Non-trawl,2013,10.73
1965,WA,Non-trawl,2013,8.1
1966,WA,Non-trawl,2013,4.89
1967,WA,Non-trawl,2013,4.18
1968,WA,Non-trawl,2013,2.12
1969,WA,Non-trawl,2013,6.75
1970,WA,Non-trawl,2013,0.27
1971,WA,Non-trawl,2013,0
1972,WA,Non-trawl,2013,0.01
1973,WA,Non-trawl,2013,0.08
1974,WA,Non-trawl,2013,0.6
1975,WA,Non-trawl,2013,2.01
1976,WA,Non-trawl,2013,0
1977,WA,Non-trawl,2013,22.98
1978,WA,Non-trawl,2013,38.7
1979,WA,Non-trawl,2013,41.25
1980,WA,Non-trawl,2013,15.15
1981,WA,Non-trawl,2013,49
1982,WA,Non-trawl,2013,59.49
1983,WA,Non-trawl,2013,72.09
1984,WA,Non-trawl,2013,97.1
1985,WA,Non-trawl,2013,200.35
1986,WA,Non-trawl,2013,217.29
1987,WA,Non-trawl,2013,337.64
1988,WA,Non-trawl,2013,180.89
1989,WA,Non-trawl,2013,160.12
1990,WA,Non-trawl,2013,118.48
1991,WA,Non-trawl,2013,97.61
1992,WA,Non-trawl,2013,165.97
1993,WA,Non-trawl,2013,279.91
1994,WA,Non-trawl,2013,290.4
1995,WA,Non-trawl,2013,277.19
1996,WA,Non-trawl,2013,207.16
1997,WA,Non-trawl,2013,156.04
1998,WA,Non-trawl,2013,159.67
1999,WA,Non-trawl,2013,117.77
2000,WA,Non-trawl,2013,25.58
2001,WA,Non-trawl,2013,13
2002,WA,Non-trawl,2013,23.18
2003,WA,Non-trawl,2013,18.33
2004,WA,Non-trawl,2013,31.44
2005,WA,Non-trawl,2013,40.59
2006,WA,Non-trawl,2013,51.85
2007,WA,Non-trawl,2013,48.55
2008,WA,Non-trawl,2013,43.59
2009,WA,Non-trawl,2013,76.87
2010,WA,Non-trawl,2013,44.89
2011,WA,Non-trawl,2013,39.67
2012,WA,Non-trawl,2013,30.27
1916,WA,Non-trawl,2025,32.61
1917,WA,Non-trawl,2025,34.32
1918,WA,Non-trawl,2025,36.04
1919,WA,Non-trawl,2025,37.76
1920,WA,Non-trawl,2025,39.47
1921,WA,Non-trawl,2025,41.19
1922,WA,Non-trawl,2025,42.9
1923,WA,Non-trawl,2025,44.62
1924,WA,Non-trawl,2025,46.34
1925,WA,Non-trawl,2025,48.05
1926,WA,Non-trawl,2025,49.77
1927,WA,Non-trawl,2025,51.48
1928,WA,Non-trawl,2025,61.19
1929,WA,Non-trawl,2025,75.3
1930,WA,Non-trawl,2025,69.12
1931,WA,Non-trawl,2025,63.21
1932,WA,Non-trawl,2025,46.63
1933,WA,Non-trawl,2025,51.3
1934,WA,Non-trawl,2025,53.3
1935,WA,Non-trawl,2025,52.38
1936,WA,Non-trawl,2025,70.63
1937,WA,Non-trawl,2025,70.33
1938,WA,Non-trawl,2025,57.38
1939,WA,Non-trawl,2025,46.73
1940,WA,Non-trawl,2025,68.98
1941,WA,Non-trawl,2025,85.38
1942,WA,Non-trawl,2025,121.47
1943,WA,Non-trawl,2025,146.25
1944,WA,Non-trawl,2025,61.2
1945,WA,Non-trawl,2025,52.67
1946,WA,Non-trawl,2025,59.95
1947,WA,Non-trawl,2025,53.54
1948,WA,Non-trawl,2025,60.69
1949,WA,Non-trawl,2025,69.02
1950,WA,Non-trawl,2025,45.31
1951,WA,Non-trawl,2025,69.66
1952,WA,Non-trawl,2025,48.64
1953,WA,Non-trawl,2025,20.25
1954,WA,Non-trawl,2025,36.71
1955,WA,Non-trawl,2025,42.17
1956,WA,Non-trawl,2025,15.06
1957,WA,Non-trawl,2025,25.58
1958,WA,Non-trawl,2025,7.45
1959,WA,Non-trawl,2025,18.05
1960,WA,Non-trawl,2025,20.14
1961,WA,Non-trawl,2025,11.05
1962,WA,Non-trawl,2025,12.71
1963,WA,Non-trawl,2025,8.23
1964,WA,Non-trawl,2025,10.73
1965,WA,Non-trawl,2025,8.1
1966,WA,Non-trawl,2025,4.89
1967,WA,Non-trawl,2025,4.18
1968,WA,Non-trawl,2025,2.12
1969,WA,Non-trawl,2025,6.75
1970,WA,Non-trawl,2025,0.27
1971,WA,Non-trawl,2025,0
1972,WA,Non-trawl,2025,0.01
1973,WA,Non-trawl,2025,0.08
1974,WA,Non-trawl,2025,0.6
1975,WA,Non-trawl,2025,2.01
1976,WA,Non-trawl,2025,0
1977,WA,Non-trawl,2025,22.98
1978,WA,Non-trawl,2025,38.7
1979,WA,Non-trawl,2025,41.25
1980,WA,Non-trawl,2025,15.15
1981,WA,Non-trawl,2025,49
1982,WA,Non-trawl,2025,59.49
1983,WA,Non-trawl,2025,72.09
1984,WA,Non-trawl,2025,97.1
1985,WA,Non-trawl,2025,200.35
1986,WA,Non-trawl,2025,217.29
1987,WA,Non-trawl,2025,337.64
1988,WA,Non-trawl,2025,180.89
1989,WA,Non-trawl,2025,160.12
1990,WA,Non-trawl,2025,118.48
1991,WA,Non-trawl,2025,97.61
1992,WA,Non-trawl,2025,165.97
1993,WA,Non-trawl,2025,279.91
1994,WA,Non-trawl,2025,290.4
1995,WA,Non-trawl,2025,277.19
1996,WA,Non-trawl,2025,207.16
1997,WA,Non-trawl,2025,156.04
1998,WA,Non-trawl,2025,159.67
1999,WA,Non-trawl,2025,117.77
2000,WA,Non-trawl,2025,25.58175925
2001,WA,Non-trawl,2025,13.02148873
2002,WA,Non-trawl,2025,23.08495034
2003,WA,Non-trawl,2025,18.30328344
2004,WA,Non-trawl,2025,31.39725056
2005,WA,Non-trawl,2025,40.48515727
2006,WA,Non-trawl,2025,52.07923708
2007,WA,Non-trawl,2025,49.18556814
2008,WA,Non-trawl,2025,43.5137215
2009,WA,Non-trawl,2025,77.20540861
2010,WA,Non-trawl,2025,46.22041023
2011,WA,Non-trawl,2025,40.41256707
2012,WA,Non-trawl,2025,45.4100417
2013,WA,Non-trawl,2025,36.51422442
2014,WA,Non-trawl,2025,28.77383981
2015,WA,Non-trawl,2025,31.80518655
2016,WA,Non-trawl,2025,41.22057117
2017,WA,Non-trawl,2025,45.9215662
2018,WA,Non-trawl,2025,38.88282027
2019,WA,Non-trawl,2025,29.58941068
2020,WA,Non-trawl,2025,12.74236749
2021,WA,Non-trawl,2025,11.71510515
2022,WA,Non-trawl,2025,13.54055457
2023,WA,Non-trawl,2025,8.559313067
2024,WA,Non-trawl,2025,5.408621136
1892,OR,Non-trawl,2013,0
1893,OR,Non-trawl,2013,0
1894,OR,Non-trawl,2013,0
1895,OR,Non-trawl,2013,0
1896,OR,Non-trawl,2013,0
1897,OR,Non-trawl,2013,0
1898,OR,Non-trawl,2013,0
1899,OR,Non-trawl,2013,0
1900,OR,Non-trawl,2013,0
1901,OR,Non-trawl,2013,0
1902,OR,Non-trawl,2013,0
1903,OR,Non-trawl,2013,0
1904,OR,Non-trawl,2013,0
1905,OR,Non-trawl,2013,0
1906,OR,Non-trawl,2013,0
1907,OR,Non-trawl,2013,0
1908,OR,Non-trawl,2013,0
1909,OR,Non-trawl,2013,0
1910,OR,Non-trawl,2013,0
1911,OR,Non-trawl,2013,0
1912,OR,Non-trawl,2013,0
1913,OR,Non-trawl,2013,0
1914,OR,Non-trawl,2013,0
1915,OR,Non-trawl,2013,0
1916,OR,Non-trawl,2013,9.25
1917,OR,Non-trawl,2013,9.72
1918,OR,Non-trawl,2013,10.2
1919,OR,Non-trawl,2013,10.67
1920,OR,Non-trawl,2013,11.15
1921,OR,Non-trawl,2013,11.62
1922,OR,Non-trawl,2013,12.1
1923,OR,Non-trawl,2013,12.57
1924,OR,Non-trawl,2013,13.05
1925,OR,Non-trawl,2013,13.52
1926,OR,Non-trawl,2013,14
1927,OR,Non-trawl,2013,14.52
1928,OR,Non-trawl,2013,24.23
1929,OR,Non-trawl,2013,38.33
1930,OR,Non-trawl,2013,32.15
1931,OR,Non-trawl,2013,26.24
1932,OR,Non-trawl,2013,9.66
1933,OR,Non-trawl,2013,14.33
1934,OR,Non-trawl,2013,16.34
1935,OR,Non-trawl,2013,15.42
1936,OR,Non-trawl,2013,33.66
1937,OR,Non-trawl,2013,33.36
1938,OR,Non-trawl,2013,20.41
1939,OR,Non-trawl,2013,9.76
1940,OR,Non-trawl,2013,32.02
1941,OR,Non-trawl,2013,48.41
1942,OR,Non-trawl,2013,84.5
1943,OR,Non-trawl,2013,109.28
1944,OR,Non-trawl,2013,24.23
1945,OR,Non-trawl,2013,15.7
1946,OR,Non-trawl,2013,22.99
1947,OR,Non-trawl,2013,16.57
1948,OR,Non-trawl,2013,23.72
1949,OR,Non-trawl,2013,7.93
1950,OR,Non-trawl,2013,18.99
1951,OR,Non-trawl,2013,13.72
1952,OR,Non-trawl,2013,6.44
1953,OR,Non-trawl,2013,5.68
1954,OR,Non-trawl,2013,8.83
1955,OR,Non-trawl,2013,6.3
1956,OR,Non-trawl,2013,5.22
1957,OR,Non-trawl,2013,11.45
1958,OR,Non-trawl,2013,3.15
1959,OR,Non-trawl,2013,5.52
1960,OR,Non-trawl,2013,2.05
1961,OR,Non-trawl,2013,8.73
1962,OR,Non-trawl,2013,10.3
1963,OR,Non-trawl,2013,6.23
1964,OR,Non-trawl,2013,0.55
1965,OR,Non-trawl,2013,3.01
1966,OR,Non-trawl,2013,2.92
1967,OR,Non-trawl,2013,7.93
1968,OR,Non-trawl,2013,5.91
1969,OR,Non-trawl,2013,21.22
1970,OR,Non-trawl,2013,3.54
1971,OR,Non-trawl,2013,0.85
1972,OR,Non-trawl,2013,1.43
1973,OR,Non-trawl,2013,0.16
1974,OR,Non-trawl,2013,0
1975,OR,Non-trawl,2013,0.55
1976,OR,Non-trawl,2013,0
1977,OR,Non-trawl,2013,0
1978,OR,Non-trawl,2013,16.17
1979,OR,Non-trawl,2013,60.26
1980,OR,Non-trawl,2013,15.91
1981,OR,Non-trawl,2013,47.47
1982,OR,Non-trawl,2013,48.12
1983,OR,Non-trawl,2013,49.45
1984,OR,Non-trawl,2013,37.66
1985,OR,Non-trawl,2013,69.32
1986,OR,Non-trawl,2013,174.93
1987,OR,Non-trawl,2013,222.12
1988,OR,Non-trawl,2013,96.85
1989,OR,Non-trawl,2013,40.02
1990,OR,Non-trawl,2013,0
1991,OR,Non-trawl,2013,2.1
1992,OR,Non-trawl,2013,8.1
1993,OR,Non-trawl,2013,31.24
1994,OR,Non-trawl,2013,18.84
1995,OR,Non-trawl,2013,122.56
1996,OR,Non-trawl,2013,70.47
1997,OR,Non-trawl,2013,12.69
1998,OR,Non-trawl,2013,75.73
1999,OR,Non-trawl,2013,4.23
2000,OR,Non-trawl,2013,2.22
2001,OR,Non-trawl,2013,0.81
2002,OR,Non-trawl,2013,3.26
2003,OR,Non-trawl,2013,2.32
2004,OR,Non-trawl,2013,0
2005,OR,Non-trawl,2013,5.31
2006,OR,Non-trawl,2013,2.4
2007,OR,Non-trawl,2013,2.79
2008,OR,Non-trawl,2013,9.68
2009,OR,Non-trawl,2013,19.6
2010,OR,Non-trawl,2013,21.88
2011,OR,Non-trawl,2013,17.95
2012,OR,Non-trawl,2013,17.71
1892,OR,Non-trawl,2025,19.2555
1893,OR,Non-trawl,2025,19.2555
1894,OR,Non-trawl,2025,19.2555
1895,OR,Non-trawl,2025,4.9513
1896,OR,Non-trawl,2025,1.1921
1897,OR,Non-trawl,2025,1.2148
1898,OR,Non-trawl,2025,0.6878
1899,OR,Non-trawl,2025,1.1631
1900,OR,Non-trawl,2025,1.6385
1901,OR,Non-trawl,2025,2.1141
1902,OR,Non-trawl,2025,2.5895
1903,OR,Non-trawl,2025,3.0648
1904,OR,Non-trawl,2025,3.5402
1905,OR,Non-trawl,2025,4.0158
1906,OR,Non-trawl,2025,4.4911
1907,OR,Non-trawl,2025,4.9665
1908,OR,Non-trawl,2025,5.4421
1909,OR,Non-trawl,2025,5.9175
1910,OR,Non-trawl,2025,6.3928
1911,OR,Non-trawl,2025,6.8682
1912,OR,Non-trawl,2025,7.3438
1913,OR,Non-trawl,2025,7.8192
1914,OR,Non-trawl,2025,8.2945
1915,OR,Non-trawl,2025,8.7699
1916,OR,Non-trawl,2025,9.2455
1917,OR,Non-trawl,2025,9.7209
1918,OR,Non-trawl,2025,10.1962
1919,OR,Non-trawl,2025,10.6718
1920,OR,Non-trawl,2025,11.1472
1921,OR,Non-trawl,2025,11.6225
1922,OR,Non-trawl,2025,12.0979
1923,OR,Non-trawl,2025,12.5735
1924,OR,Non-trawl,2025,13.0489
1925,OR,Non-trawl,2025,13.5242
1926,OR,Non-trawl,2025,13.9998
1927,OR,Non-trawl,2025,14.5173
1928,OR,Non-trawl,2025,24.2266
1929,OR,Non-trawl,2025,38.3329
1930,OR,Non-trawl,2025,32.1485
1931,OR,Non-trawl,2025,26.2383
1932,OR,Non-trawl,2025,9.6629
1933,OR,Non-trawl,2025,14.3311
1934,OR,Non-trawl,2025,16.3369
1935,OR,Non-trawl,2025,15.4165
1936,OR,Non-trawl,2025,33.6599
1937,OR,Non-trawl,2025,33.3641
1938,OR,Non-trawl,2025,30.9974
1939,OR,Non-trawl,2025,9.7627
1940,OR,Non-trawl,2025,36.9471
1941,OR,Non-trawl,2025,61.3055
1942,OR,Non-trawl,2025,87.3496
1943,OR,Non-trawl,2025,235.407
1944,OR,Non-trawl,2025,42.2726
1945,OR,Non-trawl,2025,15.7
1946,OR,Non-trawl,2025,22.9868
1947,OR,Non-trawl,2025,16.5734
1948,OR,Non-trawl,2025,23.7223
1949,OR,Non-trawl,2025,7.9306
1950,OR,Non-trawl,2025,18.987
1951,OR,Non-trawl,2025,13.7231
1952,OR,Non-trawl,2025,6.4363
1953,OR,Non-trawl,2025,5.6777
1954,OR,Non-trawl,2025,8.8269
1955,OR,Non-trawl,2025,6.2984
1956,OR,Non-trawl,2025,5.218
1957,OR,Non-trawl,2025,11.4474
1958,OR,Non-trawl,2025,3.1492
1959,OR,Non-trawl,2025,5.5168
1960,OR,Non-trawl,2025,2.343
1961,OR,Non-trawl,2025,8.735
1962,OR,Non-trawl,2025,10.2981
1963,OR,Non-trawl,2025,6.2294
1964,OR,Non-trawl,2025,14.1481
1965,OR,Non-trawl,2025,3.0113
1966,OR,Non-trawl,2025,2.9193
1967,OR,Non-trawl,2025,7.9304
1968,OR,Non-trawl,2025,5.9076
1969,OR,Non-trawl,2025,21.2167
1970,OR,Non-trawl,2025,3.54
1971,OR,Non-trawl,2025,0.8505
1972,OR,Non-trawl,2025,1.4252
1973,OR,Non-trawl,2025,5.6217
1974,OR,Non-trawl,2025,18.3885
1975,OR,Non-trawl,2025,4.8238
1976,OR,Non-trawl,2025,2.0432
1977,OR,Non-trawl,2025,151.9008
1978,OR,Non-trawl,2025,19.9548
1979,OR,Non-trawl,2025,66.1828
1980,OR,Non-trawl,2025,19.1333
1981,OR,Non-trawl,2025,51.0981
1982,OR,Non-trawl,2025,51.1105
1983,OR,Non-trawl,2025,52.8526
1984,OR,Non-trawl,2025,38.7282
1985,OR,Non-trawl,2025,71.2468
1986,OR,Non-trawl,2025,184.8139
1987,OR,Non-trawl,2025,245.3216
1988,OR,Non-trawl,2025,102.6146
1989,OR,Non-trawl,2025,97.8764
1990,OR,Non-trawl,2025,51.2783
1991,OR,Non-trawl,2025,33.8999
1992,OR,Non-trawl,2025,63.1104
1993,OR,Non-trawl,2025,33.9669
1994,OR,Non-trawl,2025,38.6185
1995,OR,Non-trawl,2025,131.2078
1996,OR,Non-trawl,2025,84.6086
1997,OR,Non-trawl,2025,46.8487
1998,OR,Non-trawl,2025,86.3391
1999,OR,Non-trawl,2025,40.9562
2000,OR,Non-trawl,2025,2.2221
2001,OR,Non-trawl,2025,2.1381
2002,OR,Non-trawl,2025,3.7467
2003,OR,Non-trawl,2025,3.2242
2004,OR,Non-trawl,2025,2.2786
2005,OR,Non-trawl,2025,6.1589
2006,OR,Non-trawl,2025,5.0843
2007,OR,Non-trawl,2025,6.4822
2008,OR,Non-trawl,2025,11.0353
2009,OR,Non-trawl,2025,21.4026
2010,OR,Non-trawl,2025,22.4941
2011,OR,Non-trawl,2025,20.4335
2012,OR,Non-trawl,2025,22.7682
2013,OR,Non-trawl,2025,19.2234
2014,OR,Non-trawl,2025,5.762
2015,OR,Non-trawl,2025,13.5416
2016,OR,Non-trawl,2025,16.0611
2017,OR,Non-trawl,2025,13.0993
2018,OR,Non-trawl,2025,7.4689
2019,OR,Non-trawl,2025,8.3962
2020,OR,Non-trawl,2025,10.5803
2021,OR,Non-trawl,2025,8.5625
2022,OR,Non-trawl,2025,4.307
2023,OR,Non-trawl,2025,5.3645
2024,OR,Non-trawl,2025,1.992177691
1892,All,Non-trawl,2013,0
1893,All,Non-trawl,2013,0
